match_id,round,turn,player_id,strategy,score_before,action,target_strategy,points_delta,round_score_after,match_won
M_0001,1,1,1,loyal_partner,0,HOARD,,2,2,0
M_0001,1,1,2,coalition_seeker,0,HOARD,,2,2,0
M_0001,1,1,3,opportunist,0,HOARD,,2,2,0
M_0001,1,1,4,leader_pressure,0,HOARD,,2,2,0
M_0001,1,1,5,leader_pressure,0,HOARD,,2,2,0
M_0001,1,1,6,grudger,0,HOARD,,2,2,0
M_0001,1,1,7,loyal_partner,0,HOARD,,2,2,1
M_0001,1,1,8,coin_flip,0,HOARD,,2,2,0
M_0001,1,1,9,loyal_partner,0,HOARD,,2,2,0
M_0001,1,1,10,diplomat,0,HOARD,,2,2,0
M_0001,1,2,1,loyal_partner,2,HOARD,,2,4,0
M_0001,1,2,2,coalition_seeker,2,HOARD,,2,4,0
M_0001,1,2,3,opportunist,2,HOARD,,2,4,0
M_0001,1,2,4,leader_pressure,2,HURT,loyal_partner,0,2,0
M_0001,1,2,5,leader_pressure,2,HURT,loyal_partner,0,2,0
M_0001,1,2,6,grudger,2,HOARD,,2,4,0
M_0001,1,2,7,loyal_partner,2,HOARD,,-2,0,1
M_0001,1,2,8,coin_flip,2,HOARD,,2,4,0
M_0001,1,2,9,loyal_partner,2,HOARD,,-2,0,0
M_0001,1,2,10,diplomat,2,HOARD,,2,4,0
M_0001,1,3,1,loyal_partner,4,HOARD,,2,6,0
M_0001,1,3,2,coalition_seeker,4,HOARD,,-2,2,0
M_0001,1,3,3,opportunist,4,HOARD,,-2,2,0
M_0001,1,3,4,leader_pressure,2,HURT,grudger,-2,0,0
M_0001,1,3,5,leader_pressure,2,HURT,opportunist,-2,0,0
M_0001,1,3,6,grudger,4,HOARD,,-2,2,0
M_0001,1,3,7,loyal_partner,0,HURT,leader_pressure,4,4,1
M_0001,1,3,8,coin_flip,4,HURT,coalition_seeker,0,4,0
M_0001,1,3,9,loyal_partner,0,HURT,leader_pressure,0,0,0
M_0001,1,3,10,diplomat,4,HELP,loyal_partner,0,4,0
M_0001,1,4,1,loyal_partner,6,HOARD,,-6,0,0
M_0001,1,4,2,coalition_seeker,2,HOARD,,2,4,0
M_0001,1,4,3,opportunist,2,HOARD,,2,4,0
M_0001,1,4,4,leader_pressure,0,HURT,loyal_partner,0,0,0
M_0001,1,4,5,leader_pressure,0,HURT,loyal_partner,4,4,0
M_0001,1,4,6,grudger,2,HOARD,,2,4,0
M_0001,1,4,7,loyal_partner,4,HOARD,,-2,2,1
M_0001,1,4,8,coin_flip,4,HURT,loyal_partner,0,4,0
M_0001,1,4,9,loyal_partner,0,HOARD,,2,2,0
M_0001,1,4,10,diplomat,4,HELP,leader_pressure,0,4,0
M_0001,1,5,1,loyal_partner,0,HOARD,,2,2,0
M_0001,1,5,2,coalition_seeker,4,HOARD,,2,6,0
M_0001,1,5,3,opportunist,4,HOARD,,-2,2,0
M_0001,1,5,4,leader_pressure,0,HURT,leader_pressure,0,0,0
M_0001,1,5,5,leader_pressure,4,HURT,opportunist,-4,0,0
M_0001,1,5,6,grudger,4,HOARD,,2,6,0
M_0001,1,5,7,loyal_partner,2,HURT,coin_flip,4,6,1
M_0001,1,5,8,coin_flip,4,HOARD,,-2,2,0
M_0001,1,5,9,loyal_partner,2,HOARD,,2,4,0
M_0001,1,5,10,diplomat,4,HELP,loyal_partner,0,4,0
M_0001,1,6,1,loyal_partner,2,HOARD,,2,4,0
M_0001,1,6,2,coalition_seeker,6,HOARD,,2,8,0
M_0001,1,6,3,opportunist,2,HOARD,,2,4,0
M_0001,1,6,4,leader_pressure,0,HURT,coalition_seeker,0,0,0
M_0001,1,6,5,leader_pressure,0,HURT,loyal_partner,4,4,0
M_0001,1,6,6,grudger,6,HOARD,,2,8,0
M_0001,1,6,7,loyal_partner,6,HOARD,,-2,4,1
M_0001,1,6,8,coin_flip,2,HELP,coalition_seeker,0,2,0
M_0001,1,6,9,loyal_partner,4,HOARD,,2,6,0
M_0001,1,6,10,diplomat,4,HELP,leader_pressure,0,4,0
M_0001,1,7,1,loyal_partner,4,HOARD,,-2,2,0
M_0001,1,7,2,coalition_seeker,8,HELP,coin_flip,-4,4,0
M_0001,1,7,3,opportunist,4,HOARD,,2,6,0
M_0001,1,7,4,leader_pressure,0,HURT,coalition_seeker,0,0,0
M_0001,1,7,5,leader_pressure,4,HURT,coalition_seeker,-4,0,0
M_0001,1,7,6,grudger,8,HOARD,,2,10,0
M_0001,1,7,7,loyal_partner,4,HURT,leader_pressure,0,4,1
M_0001,1,7,8,coin_flip,2,HURT,loyal_partner,4,6,0
M_0001,1,7,9,loyal_partner,6,HOARD,,2,8,0
M_0001,1,7,10,diplomat,4,HELP,coalition_seeker,0,4,0
M_0001,2,1,1,loyal_partner,0,HOARD,,6,6,0
M_0001,2,1,2,coalition_seeker,0,HELP,diplomat,0,0,0
M_0001,2,1,3,opportunist,0,HOARD,,2,2,0
M_0001,2,1,4,leader_pressure,0,HOARD,,2,2,0
M_0001,2,1,5,leader_pressure,0,HOARD,,6,6,0
M_0001,2,1,6,grudger,0,HOARD,,2,2,0
M_0001,2,1,7,loyal_partner,0,HOARD,,2,2,1
M_0001,2,1,8,coin_flip,0,HELP,loyal_partner,0,0,0
M_0001,2,1,9,loyal_partner,0,HOARD,,2,2,0
M_0001,2,1,10,diplomat,0,HELP,leader_pressure,4,4,0
M_0001,2,2,1,loyal_partner,6,HOARD,,-2,4,0
M_0001,2,2,2,coalition_seeker,0,HOARD,,6,6,0
M_0001,2,2,3,opportunist,2,HOARD,,2,4,0
M_0001,2,2,4,leader_pressure,2,HURT,leader_pressure,0,2,0
M_0001,2,2,5,leader_pressure,6,HURT,loyal_partner,-4,2,0
M_0001,2,2,6,grudger,2,HOARD,,2,4,0
M_0001,2,2,7,loyal_partner,2,HOARD,,2,4,1
M_0001,2,2,8,coin_flip,0,HOARD,,2,2,0
M_0001,2,2,9,loyal_partner,2,HOARD,,2,4,0
M_0001,2,2,10,diplomat,4,HELP,coalition_seeker,0,4,0
M_0001,2,3,1,loyal_partner,4,HURT,leader_pressure,4,8,0
M_0001,2,3,2,coalition_seeker,6,HELP,diplomat,-6,0,0
M_0001,2,3,3,opportunist,4,HOARD,,2,6,0
M_0001,2,3,4,leader_pressure,2,HURT,coalition_seeker,-2,0,0
M_0001,2,3,5,leader_pressure,2,HURT,coalition_seeker,-2,0,0
M_0001,2,3,6,grudger,4,HOARD,,2,6,0
M_0001,2,3,7,loyal_partner,4,HOARD,,2,6,1
M_0001,2,3,8,coin_flip,2,HURT,leader_pressure,0,2,0
M_0001,2,3,9,loyal_partner,4,HOARD,,2,6,0
M_0001,2,3,10,diplomat,4,HELP,loyal_partner,4,8,0
M_0001,2,4,1,loyal_partner,8,HOARD,,2,10,0
M_0001,2,4,2,coalition_seeker,0,HOARD,,6,6,0
M_0001,2,4,3,opportunist,6,HOARD,,2,8,0
M_0001,2,4,4,leader_pressure,0,HURT,diplomat,0,0,0
M_0001,2,4,5,leader_pressure,0,HURT,diplomat,0,0,0
M_0001,2,4,6,grudger,6,HOARD,,2,8,0
M_0001,2,4,7,loyal_partner,6,HOARD,,2,8,1
M_0001,2,4,8,coin_flip,2,HELP,diplomat,0,2,0
M_0001,2,4,9,loyal_partner,6,HOARD,,2,8,0
M_0001,2,4,10,diplomat,8,HELP,coalition_seeker,-4,4,0
M_0001,2,5,1,loyal_partner,10,HOARD,,-6,4,0
M_0001,2,5,2,coalition_seeker,6,HELP,diplomat,0,6,0
M_0001,2,5,3,opportunist,8,HOARD,,2,10,0
M_0001,2,5,4,leader_pressure,0,HURT,loyal_partner,0,0,0
M_0001,2,5,5,leader_pressure,0,HURT,loyal_partner,0,0,0
M_0001,2,5,6,grudger,8,HOARD,,2,10,0
M_0001,2,5,7,loyal_partner,8,HOARD,,2,10,1
M_0001,2,5,8,coin_flip,2,HOARD,,6,8,0
M_0001,2,5,9,loyal_partner,8,HOARD,,2,10,0
M_0001,2,5,10,diplomat,4,HELP,coin_flip,4,8,0
M_0001,2,6,1,loyal_partner,4,HOARD,,6,10,0
M_0001,2,6,2,coalition_seeker,6,HOARD,,2,8,0
M_0001,2,6,3,opportunist,10,HOARD,,2,12,0
M_0001,2,6,4,leader_pressure,0,HURT,loyal_partner,0,0,0
M_0001,2,6,5,leader_pressure,0,HURT,grudger,0,0,0
M_0001,2,6,6,grudger,10,HOARD,,-2,8,0
M_0001,2,6,7,loyal_partner,10,HOARD,,2,12,1
M_0001,2,6,8,coin_flip,8,HELP,loyal_partner,0,8,0
M_0001,2,6,9,loyal_partner,10,HOARD,,2,12,0
M_0001,2,6,10,diplomat,8,HELP,loyal_partner,0,8,0
M_0001,2,7,1,loyal_partner,10,HOARD,,2,12,0
M_0001,2,7,2,coalition_seeker,8,HOARD,,2,10,0
M_0001,2,7,3,opportunist,12,HOARD,,2,14,0
M_0001,2,7,4,leader_pressure,0,HURT,loyal_partner,0,0,0
M_0001,2,7,5,leader_pressure,0,HURT,loyal_partner,0,0,0
M_0001,2,7,6,grudger,8,HOARD,,-2,6,0
M_0001,2,7,7,loyal_partner,12,HOARD,,6,18,1
M_0001,2,7,8,coin_flip,8,HURT,grudger,0,8,0
M_0001,2,7,9,loyal_partner,12,HOARD,,-6,6,0
M_0001,2,7,10,diplomat,8,HELP,loyal_partner,0,8,0
